City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
104,Diffa,NE,2021-08-03 15:43:31,13.3154,12.6113,93.22,41,87,7.78
105,Atuona,PF,2021-08-03 15:40:24,-9.8,-139.0333,77.4,72,85,22.48
106,Frontera,MX,2021-08-03 15:43:31,26.9333,-101.45,83.32,65,98,6.29
107,Mantua,IT,2021-08-03 15:42:15,45.1667,10.7833,86.09,46,55,1.99
108,Bilibino,RU,2021-08-03 15:43:32,68.0546,166.4372,27.68,94,83,7.16
109,Nantucket,US,2021-08-03 15:43:32,41.2835,-70.0995,76.6,79,1,6.91
110,Asau,RO,2021-08-03 15:43:33,46.4333,26.4,74.39,64,87,3.53
111,Fortuna,US,2021-08-03 15:43:33,40.5982,-124.1573,52.72,100,90,3.44
112,Broome,US,2021-08-03 15:43:33,42.2506,-75.833,73.81,59,1,1.01
113,Vaini,TO,2021-08-03 15:43:34,-21.2,-175.2,68.16,88,75,10.36
114,Snyder,US,2021-08-03 15:43:34,32.7179,-100.9176,79.14,50,1,0.0
115,Lorengau,PG,2021-08-03 15:43:34,-2.0226,147.2712,81.84,79,42,7.4
116,Pomarla,RO,2021-08-03 15:43:35,48.0667,26.3167,77.27,58,68,3.47
117,Liaocheng,CN,2021-08-03 15:43:35,36.4439,115.9647,76.71,75,97,4.05
118,Chuy,UY,2021-08-03 15:43:35,-33.6971,-53.4616,59.56,65,0,1.12
119,Clyde River,CA,2021-08-03 15:40:57,70.4692,-68.5914,41.23,87,90,11.5
120,Hornepayne,CA,2021-08-03 15:43:36,49.2138,-84.7705,65.23,55,98,4.81
121,Tiksi,RU,2021-08-03 15:43:36,71.6872,128.8694,42.53,81,3,10.85
122,College,US,2021-08-03 15:43:36,64.8569,-147.8028,70.29,70,40,8.05
123,Buchanan,LR,2021-08-03 15:43:37,5.8808,-10.0467,85.96,70,74,7.65
124,Rawson,AR,2021-08-03 15:43:37,-43.3002,-65.1023,54.81,44,3,5.86
125,Pulandian,CN,2021-08-03 15:43:37,39.3953,121.9669,75.33,92,29,1.97
126,Salalah,OM,2021-08-03 15:43:38,17.0151,54.0924,80.69,83,90,6.91
127,Voyvozh,RU,2021-08-03 15:43:38,62.892,54.9635,69.28,68,43,6.38
128,Tomatlan,MX,2021-08-03 15:43:38,19.9333,-105.25,86.0,70,37,0.76
129,Eldorado,BR,2021-08-03 15:43:39,-23.7869,-54.2836,72.09,31,6,5.35
130,Whitehorse,CA,2021-08-03 15:40:53,60.7161,-135.0538,54.37,81,40,10.0
131,Moron,AR,2021-08-03 15:43:39,-34.6534,-58.6198,60.84,66,0,4.27
132,Lagoa,PT,2021-08-03 15:40:42,39.05,-27.9833,72.5,82,2,7.83
133,Arraial Do Cabo,BR,2021-08-03 15:43:40,-22.9661,-42.0278,78.76,68,75,18.41
134,Kruisfontein,ZA,2021-08-03 15:43:40,-34.0033,24.7314,66.9,23,0,6.6
135,Cidreira,BR,2021-08-03 15:43:40,-30.1811,-50.2056,61.66,72,36,8.43
136,Chumikan,RU,2021-08-03 15:43:41,54.7183,135.315,51.1,95,100,7.07
137,Hofn,IS,2021-08-03 15:43:41,64.2539,-15.2082,53.92,88,23,9.26
138,Dingle,PH,2021-08-03 15:43:41,10.9995,122.6711,79.92,81,100,9.44
139,Petropavl,KZ,2021-08-03 15:43:42,54.8753,69.1628,64.31,83,10,7.76
140,Mizdah,LY,2021-08-03 15:43:42,31.4451,12.9801,101.59,10,0,15.55
141,Guilin,CN,2021-08-03 15:43:42,25.2819,110.2864,78.91,73,10,3.42
142,East London,ZA,2021-08-03 15:43:43,-33.0153,27.9116,68.94,56,0,9.22
143,Havoysund,NO,2021-08-03 15:43:43,70.9963,24.6622,54.48,76,71,6.55
144,Mugur-Aksy,RU,2021-08-03 15:43:43,50.35,90.5,57.36,65,91,2.42
145,Le Vauclin,MQ,2021-08-03 15:43:44,14.5452,-60.8388,87.93,70,75,9.22
146,Northam,GB,2021-08-03 15:43:44,51.0333,-4.2167,66.65,68,100,6.15
147,Lata,PT,2021-08-03 15:43:45,40.1629,-8.3327,83.05,38,92,12.3
148,Fairbanks,US,2021-08-03 15:40:54,64.8378,-147.7164,69.82,71,1,0.0
149,Butaritari,KI,2021-08-03 15:43:45,3.0707,172.7902,78.03,87,87,11.01
150,Husavik,IS,2021-08-03 15:43:46,66.0449,-17.3389,58.91,77,98,7.94
151,Biak,ID,2021-08-03 15:42:40,-0.9131,122.8766,76.64,82,69,7.83
152,Mnogovershinnyy,RU,2021-08-03 15:43:46,53.9353,139.9242,48.07,98,100,3.89
