City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
134,Smithers,CA,54.7804,-127.1743,68.32,40,75,4.61,broken clouds
135,Zakharovo,RU,54.366,39.2792,64.26,64,100,5.59,overcast clouds
136,Srivardhan,IN,18.0333,73.0167,79.72,86,100,13.6,overcast clouds
137,Geraldton,AU,-28.7667,114.6,56.12,66,0,17.27,clear sky
138,Kanker,IN,20.2719,81.4931,75.09,90,97,5.95,overcast clouds
139,Qaanaaq,GL,77.484,-69.3632,44.17,65,17,3.22,few clouds
140,Porto Novo,BJ,6.4965,2.6036,78.62,87,97,6.96,overcast clouds
141,Saint-Philippe,RE,-21.3585,55.7679,65.75,71,49,9.17,scattered clouds
142,Luba,GQ,3.4568,8.5547,75.09,85,67,4.61,light rain
143,Kruisfontein,ZA,-34.0033,24.7314,55.89,94,94,2.8,overcast clouds
144,Port Elizabeth,ZA,-33.918,25.5701,61.09,94,75,10.36,light rain
145,Kamaishi,JP,39.2667,141.8833,85.15,72,88,8.16,overcast clouds
146,Cherskiy,RU,68.75,161.3,59.56,57,38,3.96,scattered clouds
147,Lubartow,PL,51.4603,22.6095,63.03,96,97,10.27,overcast clouds
148,Abu Kamal,SY,34.4506,40.9171,95.38,18,47,14.12,scattered clouds
149,Hilo,US,19.7297,-155.09,82.13,75,75,12.66,light rain
150,Ahipara,NZ,-35.1667,173.1667,57.69,83,29,16.8,scattered clouds
151,Cabo San Lucas,MX,22.8909,-109.9124,86.5,75,75,4.0,broken clouds
152,Bristol,US,41.8334,-71.1662,67.57,90,90,1.01,mist
153,Wajima,JP,37.4,136.9,88.48,79,75,5.75,broken clouds
154,Ca Mau,VN,9.1769,105.15,83.3,78,100,8.97,overcast clouds
155,Mahebourg,MU,-20.4081,57.7,68.29,64,20,6.91,light rain
156,Auckland,NZ,-36.8667,174.7667,57.22,95,75,1.99,broken clouds
157,Tal,PK,35.4791,72.2439,61.88,73,6,2.62,clear sky
158,Tasiilaq,GL,65.6145,-37.6368,37.24,77,0,3.91,clear sky
159,Nanortalik,GL,60.1432,-45.2371,46.63,95,100,3.47,light rain
160,Kinkala,CG,-4.3614,14.7644,68.31,79,5,7.96,clear sky
161,Vostok,RU,46.4856,135.8833,74.84,82,94,4.32,moderate rain
162,Nyurba,RU,63.2842,118.3319,69.21,32,0,10.47,clear sky
163,Nador,MA,35.174,-2.9287,75.45,73,0,0.0,clear sky
164,Fecamp,FR,49.7579,0.3746,62.69,93,90,20.65,overcast clouds
165,Puerto Ayora,EC,-0.7393,-90.3518,70.56,90,57,5.01,broken clouds
