City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
544,Fuyu,CN,76.01,overcast clouds,45.1833,124.8167,Education Hostel
547,Marzuq,YE,81.0,overcast clouds,14.4,46.4667,
550,Honavar,IN,77.38,overcast clouds,14.2833,74.45,Hotel Sagar Residency
554,Tucurui,BR,80.64,scattered clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
556,Carmen,MX,84.24,broken clouds,18.6333,-91.8333,Hotel Lossandes
557,Fare,PF,78.89,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
559,Mahibadhoo,MV,81.18,overcast clouds,3.7833,72.9667,Omadhoo Inn
565,Anuradhapura,LK,78.51,overcast clouds,8.3565,80.4173,Nilketha Villa Eco Hotel
566,Pincher Creek,CA,81.05,clear sky,49.4833,-113.952,BLUE MOUNTAIN MOTEL
569,Machiques,VE,78.26,few clouds,10.0644,-72.545,hotel el markes
572,Srimushnam,IN,79.18,overcast clouds,11.4,79.4167,VEL HOUSE - LODGE
575,Pacifica,US,80.58,broken clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
580,San Miguel,SV,83.86,thunderstorm,13.4833,-88.1833,Hotel Tropico Inn San Miguel
582,Lakatoro,VU,78.55,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
587,Uttaradit,TH,77.68,overcast clouds,17.6667,100.5,
588,Kidal,ML,79.66,overcast clouds,18.4411,1.4078,
589,Meulaboh,ID,77.85,overcast clouds,4.1363,96.1285,Kost Pria
590,Bontang,ID,80.53,light rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
600,Sabang,ID,83.23,broken clouds,5.8933,95.3214,Hotel Citra
607,Manuk Mangkaw,PH,84.85,overcast clouds,4.8,119.85,
611,Bireun,ID,80.44,overcast clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
616,San Jose,US,84.11,haze,37.3394,-121.895,The Westin San Jose
618,Columbus,US,79.63,broken clouds,39.9612,-82.9988,DoubleTree Suites by Hilton Hotel Columbus Downtown
619,Tamiahua,MX,82.51,overcast clouds,21.2667,-97.45,Mission Of The Sun Hotel
622,Namatanai,PG,81.77,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
628,Minab,IR,85.5,clear sky,27.1467,57.0801,Bam campground
630,Shieli,KZ,81.23,clear sky,44.1667,66.75,Gostinitsa Aybek Shieli
